URL,Address,Price
https://www.zillow.com/b/laguna-creek-apartment-new-orleans-la-5Xhxmn/,"6881 Parc Brittany Blvd, New Orleans, LA",$785+
https://www.zillow.com/apartments/lake-charles-la/celeste/5XtP73/,"2960 Lake St, Lake Charles, LA",$745+
https://www.zillow.com/apartments/lake-charles-la/chandler/5chP6s/,"211 Louie St, Lake Charles, LA",$745+
https://www.zillow.com/apartments/lafayette-la/basswood/5Xhw6V/,"2820 Louisiana Ave, Lafayette, LA",$750+
https://www.zillow.com/apartments/new-orleans-la/laguna-reserve/5XhxnC/,"5131 Bundy Rd, New Orleans, LA",$795+
https://www.zillow.com/apartments/lake-charles-la/bayberry/5XtP8J/,"1515 W McNeese St, Lake Charles, LA",$725+
https://www.zillow.com/apartments/lake-charles-la/satsuma-village/5XtP8m/,"4404 Canal St, Lake Charles, LA",$760+
https://www.zillow.com/apartments/lake-charles-la/laurel-oak-village/5cVffB/,"1045 Walters St, Lake Charles, LA",$660+
https://www.zillow.com/apartments/shreveport-la/foxborough-cove/5XrJsV/,"8200 Pines Rd, Shreveport, LA",$740+
https://www.zillow.com/apartments/lafayette-la/santa-rosa/5Xhw83/,"200 Merchants Blvd, Lafayette, LA",$775+
https://www.zillow.com/apartments/shreveport-la/hillside-apartments/5XtNGQ/,"9250 Dean Rd, Shreveport, LA",$820+
https://www.zillow.com/apartments/shreveport-la/aspen-apartments/5XtNGS/,"9730 Baird Rd, Shreveport, LA",$825+
https://www.zillow.com/apartments/houma-la/ansley-place/5XtPdR/,"100 Ansley Place Ct, Houma, LA","$1,095+"
https://www.zillow.com/apartments/broussard-la/villa-broussard-ii/BsQjjW/,"232 Saint Nazaire Rd, Broussard, LA","$1,400+"
https://www.zillow.com/apartments/shreveport-la/chateau-apartments/5XtNGB/,"2903 Weyman St, Shreveport, LA",$775+
https://www.zillow.com/apartments/ruston-la/edgewood-square-apartments/CkCScw/,"Edgewood Square Apartments, 713 McDonald Ave, Ruston, LA 71270",
https://www.zillow.com/apartments/shreveport-la/laurel-parc/5Y2YvM/,"8601 Millicent Way, Shreveport, LA",$730+
https://www.zillow.com/apartments/shreveport-la/sommerset-apartments/5XtNGd/,"7820 Millicent Way, Shreveport, LA","$1,075+"
https://www.zillow.com/apartments/port-allen-la/katherine-square/5ZbQcR/,"Katherine Square, 250 N 14th St, Pt Allen, LA 70767",
https://www.zillow.com/apartments/shreveport-la/the-pearl/5Y2YvG/,"8510 Millicent Way, Shreveport, LA",$900+
https://www.zillow.com/apartments/ruston-la/north-village-apartments/CkBQJx/,"2301 Timberline Ct, Ruston, LA","$1,345+"
https://www.zillow.com/apartments/shreveport-la/seasons-apartments/5XtNFx/,"9100 Walker Rd, Shreveport, LA",$905+
https://www.zillow.com/apartments/broussard-la/villa-broussard/63fCvH/,"231 Saint Nazaire Rd, Broussard, LA","$1,400+"
https://www.zillow.com/apartments/houma-la/bonne-terre-village-i-and-ii/5YyC2q/,"Bonne Terre Village I & II, 7614 Main St APT 106, Houma, LA 70360",
https://www.zillow.com/apartments/new-iberia-la/reserve-at-squirrel-run/5hJ4T5/,"2118 W Old Spanish Trl, New Iberia, LA","$1,060+"
https://www.zillow.com/apartments/baton-rouge-la/scarlet-oak-village/5Xhw47/,"Scarlet Oak Village, 2022 Lobdell Blvd, Baton Rouge, LA 70806",
https://www.zillow.com/apartments/covington-la/the-green-at-northpark/CkCkyT/,"2021 Sullivan Ln, Covington, LA","$1,342+"
https://www.zillow.com/apartments/bossier-city-la/lexington-place-apartments/CkBhPp/,"1301 Williamsburg Dr, Bossier City, LA","$1,220+"
https://www.zillow.com/apartments/bossier-city-la/jamestown-place-apartment-homes/5Xt8xv/,"5400 Barksdale Blvd, Bossier City, LA","$1,175+"
https://www.zillow.com/apartments/baton-rouge-la/ltl-royal-palms-baton-rouge-mt-llc/CjwDR5/,"10245 Airline Hwy, Baton Rouge, LA","$1,363+"
https://www.zillow.com/apartments/baton-rouge-la/gates-at-citiplace/5Xhw58/,"2500 Gates Cir, Baton Rouge, LA","$1,215+"
https://www.zillow.com/apartments/baton-rouge-la/the-millennium-towne-center/5Xhw3Y/,"6810 Jefferson Hwy, Baton Rouge, LA","$1,098+"
https://www.zillow.com/apartments/shreveport-la/stone-canyon/5Y2YvK/,"8911 Youree Dr, Shreveport, LA",$720+
https://www.zillow.com/apartments/zachary-la/audubon-park-apartment-homes/CpMKcF/,"1233 Mount Pleasant Zachary Rd, Zachary, LA","$1,464+"
https://www.zillow.com/apartments/bossier-city-la/shreveport-bossier-city/5XtCGm/,"Shreveport - Bossier City, 2275 Old Minden Rd, Bossier City, LA 71112",
https://www.zillow.com/apartments/shreveport-la/colonial-plaza-apartments/5Xt4dg/,"215 Sand Beach Blvd, Shreveport, LA",$895+
https://www.zillow.com/apartments/lafayette-la/magnolia-point-cottages-and-townhomes/Cnr5hP/,"104 Marblehead Ave, Lafayette, LA","$1,775+"
https://www.zillow.com/apartments/baton-rouge-la/the-district-apartments/5YyFpY/,"5500 Perkins Rd, Baton Rouge, LA","$1,160+"
https://www.zillow.com/apartments/baton-rouge-la/canterbury-house/5XrYDg/,"Canterbury House, 2001 S Sherwood Forest Blvd, Baton Rouge, LA 70816",
https://www.zillow.com/apartments/baton-rouge-la/the-everly-at-rouzan/CYFpZC/,"4850 Rouzan Square Ave, Baton Rouge, LA","$1,526+"
https://www.zillow.com/apartments/lafayette-la/parc-gardens/Ck7SS9/,"1521 Camellia Blvd, Lafayette, LA","$1,700+"
